,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
974,120.150726,230.59146099999998,103.799927,162.139999,157.83847,266.829987,38.675907,68.73305500000001,128.96000700000002,,207.13736,284.04580699999997,167.880707,112.24176000000001,52.090607,143.71434,98.311172,48.680988,222.172821,160.118469,74.431885,220.43035899999998,128.208282,139.895035,110.33010900000001,326.71524,202.767075,56.78621700000001,34.439808,143.994186
975,120.24002800000001,228.963181,103.602234,163.240005,159.28913899999998,261.829987,38.753624,68.31166800000001,126.589996,,207.550049,280.846924,169.75964399999998,112.995415,51.819649,143.462494,97.7649,48.584049,222.436661,161.819305,74.247437,218.452148,126.680099,139.730118,109.48960100000001,317.281067,200.663177,55.896538,34.182793,141.739197
976,119.76378600000001,226.419708,103.226616,164.240005,160.68138100000002,257.72000099999997,38.831348,68.836067,127.360001,,204.965866,281.287109,168.918045,112.053345,52.109959,142.58097800000002,99.228157,48.458038,224.410675,162.472717,72.91023299999999,217.265244,128.009796,139.526413,110.08577,319.962494,198.033325,55.638245,35.829582,142.320175
977,118.087029,227.10376000000002,103.70108,167.350006,164.293381,258.549988,39.015934,68.255493,126.809998,,202.617493,281.40451,171.11991899999998,112.986443,52.409939,143.462494,99.0233,48.496803,224.146835,164.288864,73.62033100000001,217.265244,127.01747900000001,140.069656,110.750359,325.21679700000004,198.7379,55.533012,35.610645,142.49743700000002
978,115.07086899999999,222.276871,101.2892,167.110001,163.105606,255.00999500000003,38.180431,66.747856,124.230003,,202.10656699999998,277.559937,167.919846,112.618576,52.816364,139.800858,97.355186,48.099365,220.85356099999998,162.92434699999998,72.550568,211.884552,126.45185900000001,137.663864,109.303917,319.617432,195.472946,54.815536,35.191814,140.764328
979,116.58888200000001,222.65264900000003,101.95148499999999,167.240005,164.527054,255.97000099999997,38.083282000000004,67.122429,124.949997,,204.405777,279.81976299999997,169.554123,105.306274,51.703528999999996,140.023651,97.911224,48.710064,222.270523,164.269653,72.181686,212.30984500000002,127.503723,138.216827,115.43173200000001,318.818939,196.197388,54.767704,35.686797999999996,141.699814
980,115.95388799999999,220.600494,100.261185,163.860001,162.97905,254.229996,37.947269,66.363922,126.629997,,199.374985,278.323029,169.17248500000002,103.233704,51.771267,139.42305,96.93573,48.458038,222.993698,162.559204,71.99724599999999,212.458221,128.43649299999998,138.963776,122.165504,318.207764,196.92181399999998,54.289382999999994,35.591614,142.192169
981,114.84266699999999,219.64666699999998,103.582466,169.070007,165.179352,249.669998,37.714108,68.73305500000001,127.559998,,201.821609,275.045898,173.067368,103.86174,52.15834,140.537048,100.359734,49.126888,223.93182400000003,164.03903200000002,73.048576,212.547256,129.021988,137.979523,123.279655,321.106018,196.485168,54.844234,35.705841,141.355164
982,114.13823700000002,218.856644,99.816376,167.360001,165.140167,250.520004,37.714108,67.955833,128.350006,,201.46788,276.845856,171.78537,104.077087,46.642528999999996,140.69206200000002,101.266953,48.971794,223.501846,163.164597,73.62033100000001,213.872635,128.99221799999998,138.886703,123.11351,325.90689100000003,196.505005,55.446918000000004,36.21035,141.650589
983,114.148155,216.66963199999998,95.763611,160.830002,159.860474,241.979996,36.596866999999996,66.429466,124.059998,,197.63583400000002,270.037201,166.530228,100.685608,45.210346,139.461807,98.75990300000001,48.273857,219.16294900000003,159.66683999999998,72.707352,207.78968799999998,127.38463600000001,137.83320600000002,118.78395800000001,318.473907,191.602585,55.303425,35.420265,139.98641999999998
984,115.68600500000001,215.29191600000001,93.83609,155.240005,154.678726,250.30000299999998,35.81966,65.090393,123.309998,,192.270935,270.819794,163.18336499999998,99.196236,44.165245,138.667496,96.896713,48.370789,217.892563,154.737305,71.92347,210.92511000000002,127.00756100000001,138.867188,116.38951100000001,315.960144,188.615448,54.892067000000004,34.268467,140.685562
985,110.328331,208.470688,90.54445600000001,148.139999,148.066833,238.42999300000002,34.692699,62.627617,118.470001,,186.463928,263.854614,157.712952,95.68811,42.820159999999994,134.02749599999999,94.175049,46.490241999999995,209.801117,152.33500700000002,70.254265,200.470337,121.14293700000002,134.282516,118.74486499999999,303.627686,179.4953,53.868462,32.926289000000004,137.89883400000002
986,114.41603899999998,209.858063,90.020569,148.28999299999998,151.505005,237.13999900000002,34.673271,64.425545,121.540001,,186.630951,263.766602,161.079376,97.715828,42.684684999999995,132.894135,94.78961899999999,46.548401,210.055176,152.286957,69.986816,202.488113,121.91693899999999,134.194717,119.68308999999999,299.369019,183.46490500000002,54.298945999999994,31.907749,137.78067
987,108.00666799999999,209.010223,90.18860600000001,144.389999,153.83633400000002,232.270004,34.877289000000005,65.081024,121.25,,185.74662800000002,260.910095,161.42189,100.183167,42.849185999999996,132.81662,95.638306,46.587177000000004,208.149597,153.709122,69.359711,200.26265,119.158272,133.736252,117.972778,300.80835,180.328918,54.518978000000004,32.40274,136.62854
988,107.917374,212.160706,92.323715,148.600006,159.929047,232.44999700000002,34.877289000000005,67.562546,120.129997,,186.886414,264.852448,169.89666699999998,101.304695,43.023376,134.347137,97.794167,47.130016,207.71962,156.572678,70.743034,200.12416100000002,121.45053899999999,135.101898,121.10998500000001,307.66949500000004,183.335876,55.198193,34.068565,138.253326
989,109.57428700000001,212.016159,95.180412,153.649994,164.258591,237.13000499999998,35.635071,67.178596,124.019997,,194.48173500000001,271.338257,175.376892,102.426216,43.400771999999996,134.163101,100.876755,47.837639,211.863052,159.04222099999998,70.936699,204.179459,123.633652,137.755157,123.475105,316.788208,186.908508,55.246025,35.572571,140.596939
990,114.048943,221.910767,95.289146,151.630005,152.053543,250.74000499999997,35.528202,67.206703,125.07,,194.422791,276.57196,175.083282,100.398499,44.223309,135.03491200000002,97.794167,47.663162,209.977005,153.901321,74.348892,214.03089900000003,126.36255600000001,137.18940700000002,120.60178400000001,349.52673300000004,192.495743,54.739006,34.554031,139.78949
991,118.096954,223.490829,96.979439,157.08999599999999,159.752731,260.22000099999997,36.169399,67.553169,126.959999,,199.424118,279.63388100000003,179.359818,102.973511,44.525471,135.383621,101.793724,47.924889,211.384232,156.822495,74.20134,220.855652,128.704437,138.886703,124.61858400000001,349.368988,196.137833,55.62868100000001,35.724876,141.276367
