Date,SPY,DJ,CPI,PPI,Real GDP,Industrial Production,Balance of Trade,M1,Housing Starts,Employment Report,Treasury Yields
7/31/1994,458.26,3764.5,148.4,125.7,10387.38,70.78,-8.74,1150.7,1439,114610,1.12
6/30/1994,444.27,3624.96,147.9,125.2,10327.02,70.68,-8.38,1145.2,1409,114238,1.14
5/31/1994,456.5,3758.37,147.5,125.1,10327.02,70.23,-7.73,1143.3,1526,113921,1.15
4/30/1994,450.91,3681.69,147.2,125.1,10327.02,69.87,-7.89,1141.1,1465,113586,1.31
3/31/1994,445.77,3635.96,147.1,125.1,10188.95,69.48,-6.47,1140.1,1564,113242,1.55
2/28/1994,467.14,3832.02,146.7,125,10188.95,68.78,-9.25,1136.3,1337,112781,1.47
1/31/1994,481.61,3978.36,146.3,124.8,10188.95,68.76,-6.21,1131.6,1272,112595,1.52
12/31/1993,466.45,3754.09,146.3,124.4,10091.05,68.51,-5.72,1129.6,1533,112314,1.56
11/30/1993,461.79,3683.95,146,124.4,10091.05,68.13,-7.02,1124.1,1376,111984,1.6
10/31/1993,467.83,3680.59,145.6,124.2,10091.05,67.85,-6.59,1113.1,1392,111733,1.43
9/30/1993,458.93,3555.12,145,124.1,9955.64,67.33,-7.03,1104.2,1343,111448,1.51
8/31/1993,463.56,3651.25,144.8,123.9,9955.64,67.01,-5.58,1094.2,1300,111206,1.59
7/31/1993,448.13,3539.47,144.5,125.1,9955.64,67.08,-6.38,1084.6,1254,111055,1.68
6/30/1993,450.53,3516.08,144.3,125.2,9908.35,66.88,-6.93,1075.1,1280,110749,1.77
5/31/1993,450.19,3527.43,144.2,125.7,9908.35,66.77,-4.37,1065.9,1260,110568,1.9
4/30/1993,440.19,3427.55,143.8,125.7,9908.35,67,-6.45,1047.6,1258,110296,2.21
3/31/1993,451.67,3435.11,143.3,125,9850.97,66.77,-6.78,1038.4,1083,109994,2.07
2/28/1993,443.38,3370.81,143.1,124.7,9850.97,66.86,-3.6,1033.5,1210,110044,2.11
1/31/1993,438.78,3310.03,142.8,124.4,9850.97,66.56,-3.87,1030.4,1210,109794,2.19
12/31/1992,435.71,3301.11,142.3,124.2,9834.51,66.28,-5.6,1024.9,1227,109495,2.13
11/30/1992,431.35,3305.16,142.1,124.1,9834.51,66.22,-3.97,1015.7,1214,109272,2.15
10/31/1992,418.68,3226.28,141.7,124.2,9834.51,65.94,-3.52,1003.7,1244,109139,2.41
9/30/1992,417.8,3271.66,141.1,123.7,9732.98,65.45,-3.53,988,1186,108959,2.56
8/31/1992,414.03,3257.35,140.8,123.4,9732.98,65.29,-4.46,973.7,1226,108925,2.47
7/31/1992,424.21,3393.78,140.5,123.3,9732.98,65.62,-2.78,963.3,1139,108793,2.31
6/30/1992,408.14,3318.52,140.1,123.4,9637.73,65.03,-2.82,954.3,1145,108715,2.29
5/31/1992,415.35,3396.88,139.7,122.9,9637.73,65.02,-3.92,950.6,1214,108649,2.13
4/30/1992,414.95,3359.12,139.4,122.5,9637.73,64.81,-3.11,943.8,1099,108519,2.16
3/31/1992,403.69,3235.47,139.1,122.4,9534.35,64.32,-2.64,936.7,1297,108365,1.95
2/29/1992,412.7,3267.67,138.6,122.3,9534.35,63.79,-0.83,925.2,1250,108311,2.01
1/31/1992,408.79,3223.39,138.3,122,9534.35,63.34,-2.03,910.4,1176,108369,2.17
