ds,y,y,CPI,PPI,Real GDP,Industrial Production,Balance of Trade,M1,Housing Starts,Employment Report,Treasury Yields
2011-03-31,1325.83,12319.73,223.05,188.8,15712.75,96.46,-44.31,1896.5,600,131288,2.65
2011-02-28,1327.22,12226.34,221.9,187.4,15712.75,95.52,-44.75,1870.1,517,131053,2.75
2011-01-31,1286.12,11891.93,221.19,185.4,15712.75,95.94,-48.12,1846.3,630,130841,2.81
2010-12-31,1257.64,11577.51,220.47,184,15750.63,96.06,-41.72,1836.7,539,130822,2.7
2010-11-30,1180.55,11006.02,219.59,182.4,15750.63,95.14,-38.74,1828.4,545,130750,2.34
2010-10-31,1183.26,11118.49,219.04,181.6,15750.63,95.11,-40.65,1780.4,543,130625,2.26
2010-09-30,1141.2,10788.05,218.28,180.1,15671.97,95.36,-44.33,1766.2,594,130357,2.09
2010-08-31,1049.33,10014.72,217.92,179.5,15671.97,95.14,-45.62,1748.7,599,130422,2
2010-07-31,1101.6,10465.94,217.61,178.5,15671.97,94.85,-41.61,1724,546,130427,2.36
2010-06-30,1030.71,9774.02,217.2,178.3,15557.28,94.44,-47.32,1731.6,536,130511,2.33
2010-05-31,1089.41,10136.63,217.29,178.9,15557.28,94.3,-42.09,1710.1,583,130650,2.52
2010-04-30,1186.69,11008.61,217.4,178.9,15557.28,92.94,-41.5,1699,687,130110,2.69
2010-03-31,1169.43,10856.63,217.35,178.9,15415.15,92.6,-40.27,1711.9,636,129879,2.81
2010-02-28,1104.49,10325.26,217.28,177.7,15415.15,91.99,-41.5,1699.8,604,129698,2.8
2010-01-31,1073.87,10067.33,217.49,178.9,15415.15,91.66,-37.74,1674.7,614,129790,2.77
2009-12-31,1115.1,10428.05,217.35,177.1,15356.06,90.61,-39.43,1692.8,581,129788,2.7
2009-11-30,1095.63,10344.84,217.23,176.6,15356.06,90.34,-38.38,1683,588,130057,2.53
2009-10-31,1036.2,9712.73,216.51,174.3,15356.06,89.98,-34.96,1677.7,534,130045,2.49
2009-09-30,1057.08,9712.28,215.86,173.5,15189.22,89.69,-35.25,1664.9,585,130244,2.36
2009-08-31,1020.63,9496.28,215.45,173.9,15189.22,89.02,-31.67,1660,586,130485,2.43
2009-07-31,987.48,9171.61,214.73,171.5,15189.22,88.03,-33.31,1662.5,594,130668,2.37
2009-06-30,919.32,8447,214.79,173.5,15134.12,87.07,-27.15,1658.8,585,131008,2.42
2009-05-31,919.14,8500.33,213.02,170.3,15134.12,87.42,-25.84,1617.5,540,131475,2.54
2009-04-30,872.81,8168.12,212.71,170,15134.12,88.31,-30.47,1611.6,478,131817,2.22
